Ahr,V
0.011719,3.74674
0.0375,3.69452
0.060937,3.68146
0.089062,3.66841
0.1125,3.65535
0.13125,3.6423
0.16875,3.62924
0.20625,3.61619
0.234375,3.61619
0.267188,3.61619
0.304688,3.60313
0.342188,3.59008
0.379688,3.55091
0.421875,3.53786
0.454688,3.53786
0.492188,3.5248
0.534375,3.5248
0.576563,3.51175
0.609375,3.48564
0.642188,3.47259
0.684375,3.45953
0.721875,3.44648
0.754688,3.44648
0.796875,3.43342
0.839063,3.43342
0.890625,3.3812
0.923438,3.3812
0.95625,3.3812
0.998438,3.36815
1.040625,3.35509
1.082813,3.35509
1.110938,3.32898
1.148438,3.32898
1.185938,3.32898
1.228125,3.28982
1.25625,3.28982
1.303125,3.27676
1.335938,3.26371
1.36875,3.26371
1.401563,3.25065
1.429688,3.25065
1.4625,3.2376
1.504688,3.22454
1.542188,3.21149
1.598438,3.19843
1.635938,3.19843
1.659375,3.18538
1.701562,3.17232
1.725,3.17232
1.748438,3.15927
1.78125,3.14621
1.823438,3.1201
1.860938,3.1201
1.89375,3.10705
1.935938,3.094
1.973438,3.094
2.010938,3.094
2.067188,3.06789
2.114062,3.04178
2.15625,3.00261
2.189063,3.00261
2.226562,2.9765
2.264062,2.96345
2.296875,2.95039
2.329688,2.92428
2.376563,2.85901
2.4,2.81984
2.428125,2.78068
2.446875,2.71541
2.470313,2.66319
2.489062,2.58486
2.510156,2.50653
