Ahr,V
0.007031,4.162371
0.065625,4.123711
0.103125,4.097938
0.140625,4.072165
0.173438,4.059278
0.196875,4.059278
0.248438,4.033505
0.28125,4.020619
0.304688,3.994845
0.3375,3.994845
0.360938,3.969072
0.407813,3.943299
0.440625,3.943299
0.473438,3.930412
0.510938,3.891753
0.54375,3.878866
0.585938,3.865979
0.628125,3.853093
0.684375,3.840206
0.717188,3.840206
0.75,3.82732
0.773438,3.814433
0.829688,3.801546
0.8625,3.78866
0.885938,3.775773
0.91875,3.762887
0.975,3.737113
1.003125,3.724227
1.026563,3.71134
1.05,3.698454
1.092188,3.67268
1.153125,3.67268
1.190625,3.659794
1.232813,3.659794
1.265625,3.634021
1.307813,3.621134
1.345313,3.608247
1.382813,3.595361
1.415625,3.582474
1.448438,3.582474
1.48125,3.582474
1.509375,3.582474
1.542188,3.569588
1.589063,3.569588
1.626563,3.556701
1.66875,3.556701
1.701563,3.543814
1.739063,3.543814
1.795313,3.518041
1.832813,3.505155
1.875,3.505155
1.9125,3.492268
1.954688,3.492268
1.992188,3.479381
2.029688,3.466495
2.071875,3.427835
2.142188,3.389175
2.189063,3.376289
2.235938,3.350515
2.26875,3.324742
2.320313,3.286082
2.371875,3.247423
2.4,3.208763
2.423438,3.18299
2.442188,3.157216
2.465625,3.118557
2.479688,3.054124
2.498438,2.989691
2.5125,2.912371
2.526563,2.822165
2.540625,2.706186
2.554688,2.641753
2.571094,2.5
