Ahr,V
0.00199,3.81071
0.0031,3.77922
0.0042,3.75682
0.00862,3.69846
0.01415,3.68843
0.01746,3.68289
0.02299,3.67412
0.02851,3.66578
0.0462,3.64088
0.07604,3.60313
0.08156,3.5968
0.08819,3.58994
0.09372,3.58586
0.09482,3.5853
0.16113,3.58738
0.17771,3.58793
0.20092,3.58829
0.22744,3.58833
0.25949,3.58801
0.40317,3.58351
0.41201,3.58311
0.44074,3.5817
0.45069,3.58118
0.475,3.57984
0.64962,3.56738
0.65735,3.56673
0.68609,3.56423
0.7955,3.55346
0.85739,3.54534
0.8817,3.54114
0.88502,3.54053
0.91486,3.53482
1.04195,3.50869
1.0961,3.49739
1.10715,3.49509
1.15247,3.48564
1.1812,3.47966
1.51717,3.41043
1.55143,3.40345
1.61221,3.39112
1.70836,3.37173
2.08191,3.29814
2.08633,3.29729
2.1449,3.28607
2.21232,3.27328
2.24768,3.26662
2.46209,3.22695
2.68312,3.18703
2.73727,3.17736
2.83342,3.16025
3.11966,3.10906
3.17823,3.09825
3.19039,3.09597
3.20697,3.09284
3.34732,3.0646
3.41032,3.04978
3.47331,3.03186
3.52636,3.01383
3.57941,2.993
3.59377,2.98683
3.61035,2.97939
3.63466,2.96784
3.65456,2.95776
3.73413,2.91195
3.74186,2.90722
3.74739,2.90383
3.75734,2.89773
3.76176,2.89502
3.82696,2.85278
3.84575,2.83905
3.8568,2.8304
3.85791,2.82951
3.86122,2.8268
3.90543,2.78628
3.93306,2.75722
3.94079,2.74869
3.94521,2.74376
3.94853,2.74004
3.98942,2.69106
3.99384,2.68518
4.02147,2.64397
4.02589,2.63649
4.03252,2.62473
4.05021,2.59049
4.05905,2.57204
4.08336,2.51818
4.09662,2.48776
4.10104,2.4776
4.1132,2.44981
4.11541,2.44481
4.12978,2.41298
4.14525,2.38055
4.15409,2.36318
4.17288,2.32974
4.1773,2.32265
4.20493,2.28599
4.23698,2.2617
