Ahr,V
0.00199,4.13846
0.0031,4.13333
0.0042,4.12821
0.00862,4.11035
0.01415,4.0953
0.01746,4.08885
0.02299,4.08062
0.02851,4.07438
0.0462,4.06011
0.07604,4.04297
0.08156,4.04013
0.08819,4.03686
0.09372,4.03428
0.09482,4.03379
0.16113,4.01267
0.17771,4.00908
0.20092,4.00461
0.22744,4.00003
0.25949,3.99501
0.40317,3.9762
0.41201,3.97518
0.44074,3.97193
0.45069,3.97083
0.475,3.96819
0.64962,3.94969
0.65735,3.94881
0.68609,3.94539
0.7955,3.92692
0.85739,3.91115
0.8817,3.90408
0.88502,3.90309
0.91486,3.89403
1.04195,3.85545
1.0961,3.84046
1.10715,3.83757
1.15247,3.82642
1.1812,3.81996
1.51717,3.75776
1.55143,3.75109
1.61221,3.7387
1.70836,3.71794
2.08191,3.63161
2.08633,3.63058
2.1449,3.61698
2.21232,3.60145
2.24768,3.59337
2.46209,3.54583
2.68312,3.50066
2.73727,3.49044
2.83342,3.47302
3.11966,3.42197
3.17823,3.41052
3.19039,3.40805
3.20697,3.40462
3.34732,3.37277
3.41032,3.35699
3.47331,3.3404
3.52636,3.32585
3.57941,3.31084
3.59377,3.30671
3.61035,3.30191
3.63466,3.29478
3.65456,3.28881
3.73413,3.25966
3.74186,3.25587
3.74739,3.25304
3.75734,3.24773
3.76176,3.24527
3.82696,3.20267
3.84575,3.18809
3.8568,3.17896
3.85791,3.17802
3.86122,3.17519
3.90543,3.13335
3.93306,3.10306
3.94079,3.09396
3.94521,3.08863
3.94853,3.08457
3.98942,3.02967
3.99384,3.02314
4.02147,2.97912
4.02589,2.97149
4.03252,2.95971
4.05021,2.92624
4.05905,2.90834
4.08336,2.85487
4.09662,2.82256
4.10104,2.8109
4.1132,2.77515
4.11541,2.76792
4.12978,2.71367
4.14525,2.63991
4.15409,2.59225
4.17288,2.484
4.1773,2.4581
4.20493,2.30557
4.23698,2.18348
