Ahr,V
0.00199,4.05891
0.0031,4.04862
0.0042,4.03735
0.00862,4.00835
0.01415,3.98915
0.01746,3.98085
0.02299,3.96971
0.02851,3.96087
0.0462,3.94097
0.07604,3.92076
0.08156,3.91799
0.08819,3.91495
0.09372,3.91262
0.09482,3.91217
0.16113,3.8926
0.17771,3.88914
0.20092,3.88497
0.22744,3.88101
0.25949,3.87729
0.40317,3.86987
0.41201,3.86947
0.44074,3.86787
0.45069,3.86717
0.475,3.86515
0.64962,3.84339
0.65735,3.84231
0.68609,3.83831
0.7955,3.82184
0.85739,3.81075
0.8817,3.80579
0.88502,3.80508
0.91486,3.79819
1.04195,3.7607
1.0961,3.74538
1.10715,3.74247
1.15247,3.73129
1.1812,3.72476
1.51717,3.65961
1.55143,3.65307
1.61221,3.64119
1.70836,3.62119
2.08191,3.52905
2.08633,3.528
2.1449,3.51425
2.21232,3.49902
2.24768,3.49127
2.46209,3.44654
2.68312,3.40252
2.73727,3.39189
2.83342,3.37309
3.11966,3.31706
3.17823,3.3054
3.19039,3.30296
3.20697,3.29962
3.34732,3.2704
3.41032,3.25635
3.47331,3.24109
3.52636,3.22644
3.57941,3.20881
3.59377,3.20345
3.61035,3.19697
3.63466,3.1869
3.65456,3.17817
3.73413,3.13915
3.74186,3.13507
3.74739,3.13212
3.75734,3.12673
3.76176,3.12428
3.82696,3.08079
3.84575,3.06387
3.8568,3.05296
3.85791,3.05183
3.86122,3.04842
3.90543,2.99983
3.93306,2.9682
3.94079,2.9591
3.94521,2.95383
3.94853,2.94983
3.98942,2.89629
3.99384,2.88982
4.02147,2.84543
4.02589,2.83768
4.03252,2.82572
4.05021,2.79186
4.05905,2.77392
4.08336,2.72073
4.09662,2.68826
4.10104,2.67666
4.1132,2.64213
4.11541,2.63536
4.12978,2.58724
4.14525,2.52866
4.15409,2.49341
4.17288,2.41983
4.1773,2.40356
4.20493,2.31628
4.23698,2.24559
