Ahr,V
0.00332,3.403
0.00784,3.36545
0.01839,3.33841
0.03797,3.30687
0.07112,3.29485
0.10727,3.29185
0.14343,3.28734
0.18109,3.28734
0.21875,3.28584
0.25491,3.28434
0.29106,3.28134
0.32873,3.27983
0.36639,3.27983
0.40104,3.27833
0.43719,3.27533
0.47486,3.27383
0.51252,3.27232
0.55018,3.27232
0.58634,3.26782
0.62249,3.26481
0.65865,3.26181
0.69481,3.25881
0.73096,3.2558
0.76712,3.2528
0.80478,3.2513
0.84244,3.24829
0.8786,3.24679
0.91475,3.24529
0.9479,3.24379
0.98556,3.24078
1.02322,3.24078
1.05938,3.23778
1.09403,3.23478
1.13169,3.23478
1.16785,3.23327
1.2025,3.23027
1.24016,3.23027
1.27782,3.23027
1.31548,3.22727
1.35315,3.22727
1.3893,3.22426
1.42696,3.22276
1.46463,3.22276
1.50078,3.21825
1.53694,3.21675
1.57309,3.21525
1.60925,3.21225
1.64691,3.20924
1.68307,3.20624
1.71772,3.20173
1.75538,3.19873
1.79154,3.19572
1.82619,3.18972
1.86385,3.18521
1.9,3.18221
1.93616,3.1762
1.97232,3.17019
2.00697,3.16268
2.04312,3.15667
2.07777,3.14766
2.11242,3.13865
2.14707,3.12813
2.18172,3.11912
2.21637,3.10711
2.25102,3.09659
2.28265,3.08308
2.31429,3.06806
2.34141,3.04703
2.36702,3.01999
2.38811,2.98995
2.40619,2.95841
2.42125,2.92387
2.43632,2.89082
2.44837,2.85478
2.46042,2.82023
2.47097,2.78418
2.48001,2.74813
2.48905,2.71359
2.49658,2.67604
2.50411,2.63999
2.51164,2.60394
2.51767,2.5664
2.52219,2.53035
2.52821,2.4928
2.53273,2.45525
2.53725,2.4192
2.54027,2.38165
2.54328,2.3441
2.54629,2.30655
2.5478,2.269
2.54931,2.23145
2.55081,2.19391
2.55382,2.15636
2.55524,2.10088
2.55584,2.05975
2.55882,2.00193
